year,bedrooms,property_type,location,avg_rent
2008,All bedrooms,All property types,Dublin,1271.28
2008,All bedrooms,All property types,"Shankill, Dublin",1382.3
2008,All bedrooms,All property types,"Stillorgan, Dublin",1569.16
2008,All bedrooms,All property types,Dublin 2,1411.67
2008,All bedrooms,All property types,"Charlemont Street, Dublin 2",1506.83
2008,All bedrooms,All property types,Dublin 6,1144.6
2008,All bedrooms,All property types,"Milltown, Dublin 6",1571.02
2008,All bedrooms,All property types,"Ranelagh, Dublin 6",1214.98
2008,All bedrooms,All property types,Dublin 14,1540.92
2008,All bedrooms,All property types,"Churchtown, Dublin 14",1609.69
2008,All bedrooms,All property types,Dublin 16,1433.48
2008,All bedrooms,All property types,"Dundrum, Dublin 16",1511.46
2008,All bedrooms,All property types,Dublin 18,1511.58
2008,All bedrooms,All property types,"Cabinteely, Dublin 18",1417.59
2008,All bedrooms,All property types,"Carrickmines, Dublin 18",1585.89
2008,All bedrooms,All property types,"Leopardstown, Dublin 18",1599.26
2008,All bedrooms,All property types,"Sandyford, Dublin 18",1456.24
2008,All bedrooms,Detached house,Dublin,1772.33
2008,All bedrooms,Detached house,"Shankill, Dublin",
2008,All bedrooms,Detached house,"Stillorgan, Dublin",2133.19
2008,All bedrooms,Detached house,Dublin 2,
2008,All bedrooms,Detached house,"Charlemont Street, Dublin 2",
2008,All bedrooms,Detached house,Dublin 6,1858.21
2008,All bedrooms,Detached house,"Milltown, Dublin 6",
2008,All bedrooms,Detached house,"Ranelagh, Dublin 6",
2008,All bedrooms,Detached house,Dublin 14,1933.59
2008,All bedrooms,Detached house,"Churchtown, Dublin 14",
2008,All bedrooms,Detached house,Dublin 16,1722.1
2008,All bedrooms,Detached house,"Dundrum, Dublin 16",
2008,All bedrooms,Detached house,Dublin 18,2257.09
2008,All bedrooms,Detached house,"Cabinteely, Dublin 18",2037.9
2008,All bedrooms,Detached house,"Carrickmines, Dublin 18",
2008,All bedrooms,Detached house,"Leopardstown, Dublin 18",
2008,All bedrooms,Detached house,"Sandyford, Dublin 18",
2008,All bedrooms,Semi detached house,Dublin,1429.18
2008,All bedrooms,Semi detached house,"Shankill, Dublin",1450.77
2008,All bedrooms,Semi detached house,"Stillorgan, Dublin",1724.05
