stop_sequence,station,latitude,longitude,distance_km_to_centre,travel_min_to_centre,park_and_ride,rtb_area,year,bedrooms,property_type,avg_rent,dublin_avg,vs_dublin_pct
0,St. Stephen's Green,53.339072,-6.261333,0.0,0,No,"Charlemont Street, Dublin 2",2008,All bedrooms,All property types,1506.83,1271.28,18.5
0,St. Stephen's Green,53.339072,-6.261333,0.0,0,No,"Charlemont Street, Dublin 2",2008,All bedrooms,Apartment,1506.0,1266.06,19.0
0,St. Stephen's Green,53.339072,-6.261333,0.0,0,No,"Charlemont Street, Dublin 2",2008,Two bed,All property types,1555.48,1296.13,20.0
0,St. Stephen's Green,53.339072,-6.261333,0.0,0,No,"Charlemont Street, Dublin 2",2008,Two bed,Apartment,1555.67,1323.06,17.6
0,St. Stephen's Green,53.339072,-6.261333,0.0,0,No,"Charlemont Street, Dublin 2",2008,1 to 2 bed,All property types,1449.88,1147.99,26.3
0,St. Stephen's Green,53.339072,-6.261333,0.0,0,No,"Charlemont Street, Dublin 2",2008,1 to 2 bed,Apartment,1447.38,1230.06,17.7
0,St. Stephen's Green,53.339072,-6.261333,0.0,0,No,"Charlemont Street, Dublin 2",2008,1 to 3 bed,All property types,1506.83,1220.36,23.5
0,St. Stephen's Green,53.339072,-6.261333,0.0,0,No,"Charlemont Street, Dublin 2",2008,1 to 3 bed,Apartment,1506.0,1262.6,19.3
1,Harcourt,53.333358,-6.26265,0.64,2,No,"Charlemont Street, Dublin 2",2008,All bedrooms,All property types,1506.83,1271.28,18.5
1,Harcourt,53.333358,-6.26265,0.64,2,No,"Charlemont Street, Dublin 2",2008,All bedrooms,Apartment,1506.0,1266.06,19.0
1,Harcourt,53.333358,-6.26265,0.64,2,No,"Charlemont Street, Dublin 2",2008,Two bed,All property types,1555.48,1296.13,20.0
1,Harcourt,53.333358,-6.26265,0.64,2,No,"Charlemont Street, Dublin 2",2008,Two bed,Apartment,1555.67,1323.06,17.6
1,Harcourt,53.333358,-6.26265,0.64,2,No,"Charlemont Street, Dublin 2",2008,1 to 2 bed,All property types,1449.88,1147.99,26.3
1,Harcourt,53.333358,-6.26265,0.64,2,No,"Charlemont Street, Dublin 2",2008,1 to 2 bed,Apartment,1447.38,1230.06,17.7
1,Harcourt,53.333358,-6.26265,0.64,2,No,"Charlemont Street, Dublin 2",2008,1 to 3 bed,All property types,1506.83,1220.36,23.5
1,Harcourt,53.333358,-6.26265,0.64,2,No,"Charlemont Street, Dublin 2",2008,1 to 3 bed,Apartment,1506.0,1262.6,19.3
2,Charlemont,53.330669,-6.258683,0.95,4,No,"Charlemont Street, Dublin 2",2008,All bedrooms,All property types,1506.83,1271.28,18.5
2,Charlemont,53.330669,-6.258683,0.95,4,No,"Charlemont Street, Dublin 2",2008,All bedrooms,Apartment,1506.0,1266.06,19.0
2,Charlemont,53.330669,-6.258683,0.95,4,No,"Charlemont Street, Dublin 2",2008,Two bed,All property types,1555.48,1296.13,20.0
2,Charlemont,53.330669,-6.258683,0.95,4,No,"Charlemont Street, Dublin 2",2008,Two bed,Apartment,1555.67,1323.06,17.6
2,Charlemont,53.330669,-6.258683,0.95,4,No,"Charlemont Street, Dublin 2",2008,1 to 2 bed,All property types,1449.88,1147.99,26.3
2,Charlemont,53.330669,-6.258683,0.95,4,No,"Charlemont Street, Dublin 2",2008,1 to 2 bed,Apartment,1447.38,1230.06,17.7
2,Charlemont,53.330669,-6.258683,0.95,4,No,"Charlemont Street, Dublin 2",2008,1 to 3 bed,All property types,1506.83,1220.36,23.5
2,Charlemont,53.330669,-6.258683,0.95,4,No,"Charlemont Street, Dublin 2",2008,1 to 3 bed,Apartment,1506.0,1262.6,19.3
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,All bedrooms,All property types,1214.98,1271.28,-4.4
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,All bedrooms,Semi detached house,1868.64,1429.18,30.7
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,All bedrooms,Terrace house,1904.55,1380.59,38.0
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,All bedrooms,Apartment,1205.32,1266.06,-4.8
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,All bedrooms,Other flats,760.69,778.08,-2.2
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,One bed,All property types,808.83,922.96,-12.4
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,One bed,Apartment,1042.97,1051.21,-0.8
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,One bed,Other flats,705.24,697.54,1.1
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,Two bed,All property types,1281.97,1296.13,-1.1
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,Two bed,Terrace house,1572.8,1235.19,27.3
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,Two bed,Apartment,1307.66,1323.06,-1.2
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,Two bed,Other flats,995.61,1044.01,-4.6
3,Ranelagh,53.326433,-6.256203,1.45,7,No,"Ranelagh, Dublin 6",2008,Three bed,All property types,1963.97,1437.56,36.6
